Source Target Weight
大将军 曹操 1
关云长 司马懿 1
张飞 诸葛亮 7
张飞 曹操 1
张飞 刘备 2
张飞 司马懿 1
张飞 孙权 1
张飞 大将军 1
曹操 董卓 1
曹操 孙策 1
曹操 刘表 1
曹操 诸葛亮 1
曹操 司马懿 1
董卓 孙策 1
董卓 刘表 1
董卓 曹操 1
董卓 诸葛亮 1
董卓 司马懿 1
司马懿 董卓 1
司马懿 孙策 1
司马懿 刘表 1
司马懿 曹操 1
司马懿 诸葛亮 1
袁绍 诸葛亮 12
袁绍 姜维 1
袁绍 曹操 2
袁绍 大将军 1
袁绍 袁术 1
袁绍 刘表 1
袁绍 吕布 1
吕布 诸葛亮 12
吕布 姜维 1
吕布 曹操 2
吕布 大将军 1
吕布 袁术 1
吕布 袁绍 1
吕布 刘表 1
袁术 诸葛亮 12
袁术 姜维 1
袁术 曹操 2
袁术 大将军 1
袁术 袁绍 1
袁术 刘表 1
袁术 吕布 1
刘表 董卓 1
刘表 孙策 1
刘表 曹操 1
刘表 诸葛亮 1
刘表 司马懿 1
赵云 邓艾 1
孙策 董卓 1
孙策 刘表 1
孙策 曹操 1
孙策 诸葛亮 1
孙策 司马懿 1
马超 诸葛亮 5
马超 曹操 2
马超 魏延 2
马超 赵云 9
郭嘉 曹操 3
郭嘉 袁绍 1
郭嘉 刘表 1
周瑜 关云长 1
周瑜 孙权 2
周瑜 刘备 1
孙权 曹操 1
张辽 孙权 9
张辽 刘备 4
张辽 庞德 3
张辽 曹操 5
张辽 孙策 1
鲁肃 孙权 4
鲁肃 刘备 5
鲁肃 孙策 1
阿斗 关云长 4
诸葛亮 董卓 1
诸葛亮 孙策 1
诸葛亮 刘表 1
诸葛亮 曹操 1
诸葛亮 司马懿 1
魏延 曹操 3
魏延 诸葛亮 1
黄忠 诸葛亮 6
黄忠 赵云 1
黄忠 曹操 1
庞德 曹操 1
庞德 关云长 1
张苞 诸葛亮 3
张苞 司马懿 5
张苞 曹操 1
张苞 姜维 1
姜维 邓艾 1
邓艾 姜维 1
